Date/Time,Word Count,de-DE,en,es-ES,fr-FR,id-ID,it-IT,ja-JP,ko,pl-PL,pt-BR,ru-RU,th,vi-VN,zh-Hans
2025.08.13-19.58.09,15417,0,15417,0,0,0,0,0,0,0,0,0,5399,0,14
2025.08.22-02.11.22,20163,0,20163,0,0,0,0,0,0,0,0,0,5856,0,14
2025.08.22-14.54.36,20310,0,20310,0,0,0,0,0,0,0,0,0,6044,0,202
2025.08.22-15.03.37,20426,0,20426,0,0,0,0,0,0,0,0,0,6191,0,349
2025.08.22-16.33.02,28931,0,28931,0,0,0,0,0,0,0,0,0,6307,0,697
2025.08.22-19.58.36,28945,0,28945,0,0,0,0,0,0,0,0,0,6513,0,903
2025.08.22-20.42.24,28941,0,28941,0,0,0,0,0,0,0,0,0,6513,0,903
2025.08.22-20.57.45,28948,0,28948,0,0,0,0,0,0,0,0,0,6789,0,903
2025.08.22-21.21.14,29102,0,29102,0,0,0,0,0,0,0,0,0,6789,0,903
2025.08.22-22.19.49,29213,0,29213,0,0,0,0,0,0,0,0,0,7676,0,2032
2025.08.22-23.56.53,29213,0,29213,0,0,0,0,0,0,0,0,0,9112,0,3619
2025.08.23-00.16.43,29213,0,29213,0,0,0,0,0,0,0,0,0,9112,0,4071
2025.08.23-14.54.57,32472,0,32472,0,0,0,0,0,0,0,0,0,9112,0,4071
2025.08.23-14.58.43,32472,0,32472,0,0,0,0,0,0,0,0,0,9201,0,4071
2025.08.23-16.20.07,32472,0,32472,0,0,0,0,0,0,0,0,0,9201,0,4160
2025.08.23-16.52.38,32469,0,32469,0,0,0,0,0,0,0,0,0,9329,0,4207
2025.08.23-17.11.10,32399,0,32399,0,0,0,0,0,0,0,0,0,9617,0,4576
2025.08.24-15.41.29,32446,0,32446,0,0,0,0,0,0,0,0,0,9617,0,4576
2025.08.24-15.51.08,32446,0,32446,0,0,0,0,0,0,0,0,0,9735,0,4694
2025.08.25-14.38.31,32545,0,32545,0,0,0,0,0,0,0,0,0,10044,0,5003
2025.08.29-12.35.48,32571,0,32571,0,0,0,0,0,0,0,0,0,10143,0,5102
2025.08.29-21.36.02,32481,0,32481,0,0,0,0,0,0,0,0,0,10169,0,5128
2025.08.29-21.45.31,32482,0,32482,0,0,0,0,0,0,0,0,0,10282,0,5354
2025.08.29-21.52.26,32492,0,32492,0,0,0,0,0,0,0,0,0,10366,0,5325
2025.08.29-22.01.01,32492,0,32492,0,0,0,0,0,0,0,0,0,10489,0,5448
2025.08.29-22.04.37,32496,0,32496,0,0,0,0,0,0,0,0,0,10411,0,5370
2025.08.30-01.33.02,32508,0,32508,0,0,0,0,0,0,0,0,0,10332,0,5291
2025.08.30-01.51.24,32788,0,32788,0,0,0,0,0,0,0,0,0,10505,0,5464
2025.08.30-18.23.44,33027,0,33027,0,0,0,0,0,0,0,0,0,10785,0,5744
2025.08.30-18.36.22,32809,0,32809,0,0,0,0,0,0,0,0,0,10954,0,5913
2025.08.30-18.56.34,32593,0,32593,0,0,0,0,0,0,0,0,0,10796,0,5755
2025.08.30-19.08.38,32657,0,32657,0,0,0,0,0,0,0,0,0,10796,0,5755
2025.08.30-19.37.37,32803,0,32803,0,0,0,0,0,0,0,0,0,10860,0,5819
2025.08.30-20.06.17,32568,0,32568,0,0,0,0,0,0,0,0,0,11067,0,6026
2025.08.30-20.14.57,32803,0,32803,0,0,0,0,0,0,0,0,0,11067,0,6026
2025.08.31-00.18.21,32804,0,32804,0,0,0,0,0,0,0,0,0,11303,0,6146
2025.08.31-00.29.17,32804,0,32804,0,0,0,0,0,0,0,0,0,11420,0,6263
2025.08.31-00.31.56,32896,0,32896,0,0,0,0,0,0,0,0,0,11420,0,6263
2025.08.31-14.40.55,32884,0,32884,0,0,0,0,0,0,0,0,0,11423,0,6266
2025.09.06-17.43.21,32724,0,32724,0,0,0,0,0,0,0,0,0,11467,0,6373
2025.09.07-14.44.23,32797,0,32797,0,0,0,0,0,0,0,0,0,11476,0,6944
2025.09.08-17.54.36,32672,0,32672,0,0,0,0,0,0,0,0,0,11549,0,6988
2025.09.08-18.05.23,32682,0,32682,0,0,0,0,0,0,0,0,0,11657,0,7099
2025.09.19-21.48.41,32623,0,32623,0,0,0,0,0,0,0,0,0,11967,0,7428
2025.09.20-15.49.48,32612,0,32612,0,0,0,0,0,0,0,0,0,12051,0,7524
2025.09.20-20.31.00,32610,0,32610,0,0,0,0,0,0,0,0,0,12340,0,7894
2025.09.21-16.18.42,32610,0,32610,0,0,0,0,0,0,0,0,0,12914,0,8555
2025.09.21-16.37.40,32673,0,32673,0,0,0,0,0,0,0,0,0,13040,0,8681
2025.09.22-16.22.43,32456,0,32456,0,0,0,0,0,0,0,0,0,14429,0,11379
2025.09.22-16.58.07,32456,0,32456,0,0,0,0,0,0,0,0,0,14487,0,11428
2025.09.26-21.08.21,30180,0,30180,0,0,0,0,0,0,0,0,0,14081,0,10821
2025.09.26-22.51.14,30184,0,30184,0,0,0,0,0,0,0,0,0,14134,0,10874
2025.09.27-00.23.37,30189,0,30189,0,0,0,0,0,0,0,0,0,14208,0,10948
2025.09.27-22.31.37,30189,0,30189,0,0,0,0,0,0,0,0,0,14211,0,10951
2025.09.29-22.00.10,30213,0,30213,0,0,0,0,0,0,0,0,1026,14248,0,11075
2025.09.29-22.13.39,30213,0,30213,0,0,0,0,0,0,0,0,1054,14269,0,11103
2025.09.30-19.17.43,30261,0,30261,0,0,0,0,0,0,0,0,1061,14276,0,11110
2025.09.30-21.25.02,30301,0,30301,0,0,0,0,0,0,0,0,1255,14308,0,11142
2025.09.30-22.28.34,30301,0,30301,0,0,0,0,0,0,0,0,1283,14332,0,11170
2025.09.30-22.34.42,30273,0,30273,0,0,0,0,0,0,0,0,1255,14304,0,11142
2025.09.30-22.39.58,30280,0,30280,0,0,0,0,0,0,0,0,1255,14304,0,11142
2025.10.01-22.26.56,30643,0,30643,0,0,0,0,0,0,0,0,1619,14297,0,11137
2025.10.03-16.00.29,30736,0,30736,0,0,0,0,0,0,0,0,1624,14302,0,11142
2025.10.03-16.10.22,30740,0,30740,0,0,0,0,0,0,0,0,1625,14303,0,11143
2025.10.03-16.17.27,30741,0,30741,0,0,0,0,0,0,0,0,1629,14307,0,11147
2025.10.04-16.46.32,30753,0,30753,0,0,0,0,0,0,0,0,2157,14391,0,11180
2025.10.04-16.50.52,30770,0,30770,0,0,0,0,0,0,0,0,2157,14391,0,11180
2025.10.04-17.22.55,30792,0,30792,0,0,0,0,0,0,0,0,2193,14411,0,11216
2025.10.04-17.30.33,30796,0,30796,0,0,0,0,0,0,0,0,2198,14389,0,11194
2025.10.04-18.48.03,30890,0,30890,0,0,0,0,0,0,0,0,4290,14336,0,11141
2025.10.04-18.53.47,30890,0,30890,0,0,0,0,0,0,0,0,4439,14254,0,11059
2025.10.04-21.36.58,30891,0,30891,0,0,0,0,0,0,0,0,5041,14081,0,10886
2025.10.04-22.05.11,30891,0,30891,0,0,0,0,0,0,0,0,5275,14081,0,10886
2025.10.08-14.15.12,31010,0,31010,0,0,0,0,0,0,0,0,5414,14356,0,11161
2025.10.08-17.36.04,31017,0,31017,0,0,0,0,0,0,0,0,5795,14354,0,11215
2025.10.08-17.44.55,31017,0,31017,0,0,0,0,0,0,0,0,5858,14296,0,11157
2025.10.08-18.02.48,31017,0,31017,0,0,0,0,0,0,0,0,5936,14390,0,11251
2025.10.09-15.31.44,31021,0,31021,0,0,0,0,0,0,0,0,6357,14444,0,11227
2025.10.09-15.46.04,31022,0,31022,0,0,0,0,0,0,0,0,6357,14444,0,11246
2025.10.09-15.56.19,31021,0,31021,0,0,0,0,0,0,0,0,6357,14444,0,11246
2025.10.09-16.17.04,31021,0,31021,0,0,0,0,0,0,0,0,6357,14444,0,11245
2025.10.11-16.24.47,31316,0,31316,0,0,0,0,0,0,0,0,6368,14496,0,11333
2025.10.11-16.42.33,31424,0,31424,0,0,0,0,0,0,0,0,6465,14593,0,11430
2025.10.11-16.47.22,31554,0,31554,0,0,0,0,0,0,0,0,6465,14593,0,11430
2025.10.11-20.08.37,31658,0,31658,0,0,0,0,0,0,0,0,6595,14723,0,11560
2025.10.12-01.39.31,31591,0,31591,0,0,0,0,0,0,0,0,6712,14840,0,11677
2025.10.13-02.28.17,31673,0,31673,0,0,0,0,0,0,0,0,6716,14844,0,11681
2025.10.13-18.56.19,31717,0,31717,0,0,0,0,0,0,0,0,6799,15016,0,11799
2025.10.13-23.01.21,31788,0,31788,0,0,0,0,0,0,0,0,6802,15019,0,11802
2025.10.13-23.34.07,31815,0,31815,0,0,0,0,0,0,0,0,6822,15039,0,11822
2025.10.14-00.27.16,31845,0,31845,0,0,0,0,0,0,0,0,6833,15050,0,11833
2025.10.14-18.31.45,31875,0,31875,0,0,0,0,0,0,0,0,6648,14928,0,11664
2025.10.14-19.42.27,31895,0,31895,0,0,0,0,0,0,0,0,6769,15049,0,11785
2025.10.14-20.08.21,31924,0,31924,0,0,0,0,0,0,0,0,6771,15051,0,11787
2025.10.14-20.12.35,31925,0,31925,0,0,0,0,0,0,0,0,6771,15051,0,11787
2025.10.14-20.51.41,31945,0,31945,0,0,0,0,0,0,0,0,6770,15050,0,11786
2025.10.15-11.01.13,31946,0,31946,0,0,0,0,0,0,0,0,6819,15096,0,11835
2025.10.15-12.53.34,31955,0,31955,0,0,0,0,0,0,0,0,6820,15097,0,11836
2025.10.15-13.03.43,31956,0,31956,0,0,0,0,0,0,0,0,6820,15097,0,11836
2025.10.15-15.12.12,32079,0,32079,0,0,0,0,0,0,0,0,6830,15107,0,11846
2025.10.15-15.23.37,32098,0,32098,0,0,0,0,0,0,0,0,6845,15122,0,11861
2025.10.23-13.45.20,32146,0,32146,0,0,0,0,0,0,0,0,6853,14696,0,11385
2025.10.23-20.35.05,32148,0,32148,0,0,0,0,0,0,0,0,6912,14717,0,11535
2025.10.23-22.28.23,32146,0,32146,0,0,0,0,0,0,0,0,6932,14757,0,11544
2025.10.23-23.22.14,31967,0,31967,0,0,0,0,0,0,0,0,6867,14661,0,11448
2025.10.24-16.03.57,31993,0,31993,0,0,0,0,0,0,0,0,6989,14786,0,11570
2025.10.24-17.22.52,31994,0,31994,0,0,0,0,0,0,0,0,6991,14788,0,11572
2025.10.25-01.27.55,32037,0,32037,0,0,0,0,0,0,0,0,6992,14789,0,11574
2025.10.26-20.59.11,32078,0,32078,0,0,0,0,0,0,0,0,6999,14778,0,11587
2025.10.26-22.05.57,31931,0,31931,0,0,0,0,0,0,0,0,6904,14759,0,11492
2025.10.26-22.55.09,31931,0,31931,0,0,0,0,0,0,0,0,7128,14983,0,11716
2025.10.26-23.43.44,31939,0,31939,0,0,0,0,0,0,0,0,7128,14983,0,11716
2025.10.26-23.54.38,31966,0,31966,0,0,0,0,0,0,0,0,7136,14991,0,11724
2025.10.27-00.09.10,31987,0,31987,0,0,0,0,0,0,0,0,7144,14999,0,11732
2025.10.27-00.15.27,32000,0,32000,0,0,0,0,0,0,0,0,7154,15009,0,11742
2025.10.27-00.35.26,32000,0,32000,0,0,0,0,0,0,0,0,7170,15025,0,11758
2025.10.27-00.50.21,32040,0,32040,0,0,0,0,0,0,0,0,7169,15024,0,11757
2025.10.27-01.17.33,32040,0,32040,0,0,0,0,0,0,0,0,7229,15084,0,11817
2025.10.27-21.22.39,32110,0,32110,0,0,0,0,0,0,0,0,7254,15110,0,11843
2025.10.28-17.13.39,31983,0,31983,0,0,0,0,0,0,0,0,7100,14956,0,11689
2025.10.29-02.39.21,32004,0,32004,0,0,0,0,0,0,0,0,7121,14980,0,11712
2025.10.29-13.26.12,31965,0,31965,0,0,0,0,0,0,0,0,7123,14986,0,11718
2025.10.29-13.48.19,31972,0,31972,0,0,0,0,0,0,0,0,7130,14993,0,11725
2025.10.29-14.02.30,31979,0,31979,0,0,0,0,0,0,0,0,7133,15002,0,11728
2025.10.29-22.18.29,31980,0,31980,0,0,0,0,0,0,0,0,7023,14892,0,11618
2025.10.29-23.02.40,32006,0,32006,0,0,0,0,0,0,0,0,7077,14895,0,11645
2025.10.29-23.06.39,31998,0,31998,0,0,0,0,0,0,0,0,7077,14895,0,11645
2025.10.31-16.28.51,32083,0,32083,0,0,0,0,0,0,0,0,7075,14897,0,11647
2025.10.31-19.31.26,32082,0,32082,0,0,0,0,0,0,0,0,7073,14896,0,11645
2025.10.31-22.41.02,32114,0,32114,0,0,0,0,0,0,0,0,7097,14920,0,11669
2025.11.01-22.06.00,32089,0,32089,0,0,0,0,0,0,0,0,7195,15018,0,11767
2025.11.01-22.24.21,32092,0,32092,0,0,0,0,0,0,0,0,7209,15032,0,11781
2025.11.01-22.31.36,32091,0,32091,0,0,0,0,0,0,0,0,7212,15035,0,11784
2025.11.03-19.11.08,32085,0,32085,0,0,0,0,0,0,0,0,7215,15034,0,11787
2025.11.03-19.57.07,32085,0,32085,0,0,0,0,0,0,0,0,7679,15213,0,12252
2025.11.06-17.17.14,32167,0,32167,0,0,0,0,0,0,0,0,7682,15216,0,12255
2025.11.08-02.14.50,32173,0,32173,0,0,0,0,0,0,0,0,7738,15272,0,12311
2025.11.08-02.21.05,32189,0,32189,0,0,0,0,0,0,0,0,7742,15276,0,12315
2025.11.08-02.28.21,32192,0,32192,0,0,0,0,0,0,0,0,7758,15292,0,12331
2025.11.08-14.50.22,32222,0,32222,0,0,0,0,0,0,0,0,7773,15304,0,12346
2025.11.09-15.00.22,32235,0,32235,0,0,0,0,0,0,0,0,7787,15318,0,12360
2025.11.10-00.13.01,32295,0,32295,0,0,0,0,0,0,0,0,7790,15321,0,12363
2025.11.10-00.29.34,32303,0,32303,0,0,0,0,0,0,0,0,7826,15357,0,12403
2025.11.12-20.40.36,32288,0,32288,0,0,0,0,0,0,0,0,7793,15278,0,12357
2025.11.13-00.54.47,32293,0,32293,0,0,0,0,0,0,0,0,7839,15275,0,12403
2025.11.13-01.33.55,32286,0,32286,0,0,0,0,0,0,0,0,7850,15285,0,12416
2025.11.13-01.51.10,32286,0,32286,0,0,0,0,0,0,0,0,7856,15291,0,12422
2025.11.13-14.31.13,32315,0,32315,0,0,0,0,0,0,0,0,7856,15337,0,12422
2025.11.14-21.46.13,32272,0,32272,0,0,0,0,0,0,0,0,7869,15350,0,12435
2025.11.14-21.56.12,32291,0,32291,0,0,0,0,0,0,0,0,7875,15356,0,12435
2025.11.15-16.57.08,32278,0,32278,0,0,0,0,0,0,0,0,7900,15381,0,12460
2025.11.17-18.57.34,32313,0,32313,0,0,0,0,0,0,0,0,7823,15270,0,12349
2025.11.17-19.32.36,32366,0,32366,0,0,0,0,0,0,0,0,7917,15364,0,12443
2025.11.17-19.50.47,32366,0,32366,0,0,0,0,0,0,0,0,7970,15417,0,12496
2025.11.17-20.21.07,32429,0,32429,0,0,0,0,0,0,0,0,8015,15462,0,12541
2025.11.17-20.32.48,32481,0,32481,0,0,0,0,0,0,0,0,8078,15525,0,12604
2025.11.17-20.47.02,32366,0,32366,0,0,0,0,0,0,0,0,8130,15409,0,12488
2025.11.17-21.10.27,32366,0,32366,0,0,0,0,0,0,0,0,8183,15406,0,12485
2025.11.17-22.04.34,32378,0,32378,0,0,0,0,0,0,0,0,8239,15462,0,12541
2025.11.17-22.11.32,32366,0,32366,0,0,0,0,0,0,0,0,8251,15441,0,12520
2025.11.17-22.23.43,32371,0,32371,0,0,0,0,0,0,0,0,8272,15462,0,12541
2025.11.20-19.34.59,32356,0,32356,0,0,0,0,0,0,0,0,8256,15447,0,12526
2025.11.25-16.57.01,32385,0,32385,0,0,0,0,0,0,0,0,8155,15346,0,12414
2025.11.25-18.25.30,32389,0,32389,0,0,0,0,0,0,0,0,8185,15376,0,12444
2025.11.25-18.41.02,32389,0,32389,0,0,0,0,0,0,0,0,8189,15380,0,12448
2025.11.25-19.09.55,32402,0,32402,0,0,0,0,0,0,0,0,8189,15380,0,12448
2025.11.25-19.24.33,32395,0,32395,0,0,0,0,0,0,0,0,8192,15383,0,12451
2025.11.25-19.38.42,32387,0,32387,0,0,0,0,0,0,0,0,8178,15361,0,12429
2025.11.26-03.16.50,32387,0,32387,0,0,0,0,0,0,0,0,8199,15382,0,12450
2025.11.26-12.19.33,32391,0,32391,0,0,0,0,0,0,0,0,8199,15382,0,12450
2025.11.26-20.29.49,32400,0,32400,0,0,0,0,0,0,0,0,8192,15375,0,12443
2025.11.26-23.33.04,32400,0,32400,1490,0,0,0,1490,1490,0,0,8199,15382,0,12450
2025.11.27-02.27.04,32400,0,32400,1624,0,0,0,1624,1624,0,0,8199,15382,0,12450
2025.11.27-03.17.25,32400,0,32400,1746,0,0,0,1746,1746,0,0,8199,15382,0,12450
2025.11.27-03.43.58,32400,0,32400,2067,0,0,0,2067,2067,0,0,8199,15382,0,12450
2025.11.27-14.47.04,32400,0,32400,2659,0,0,0,2659,2659,0,0,8323,15506,0,12574
2025.11.27-18.48.59,32401,0,32401,3347,0,0,0,3347,3371,0,0,8320,15505,0,12571
2025.11.27-20.22.36,32401,0,32401,3824,0,0,0,3824,3820,0,0,8146,15331,0,12397
2025.11.27-21.03.40,32409,0,32409,4390,0,0,0,4390,4386,0,0,8146,15331,0,12397
2025.11.27-21.12.30,32409,0,32409,4398,0,0,0,4398,4394,0,0,8154,15332,0,12398
2025.11.27-21.21.06,32426,0,32426,4405,0,0,0,4405,4401,0,0,8161,15339,0,12405
2025.11.27-21.33.41,32444,0,32444,4410,0,0,0,4410,4406,0,0,8166,15344,0,12410
2025.11.27-22.28.12,32664,0,32664,4440,0,0,0,4440,4436,0,0,8182,15316,0,12412
2025.11.28-02.02.46,32445,0,32445,4700,0,0,0,4700,4696,0,0,8331,15466,0,12562
2025.11.28-02.09.33,32431,0,32431,4709,0,0,0,4709,4705,0,0,8322,15458,0,12554
2025.11.28-02.37.32,32394,0,32394,4694,0,0,0,4694,4690,0,0,8282,15418,0,12514
2025.11.28-02.58.21,32398,0,32398,4704,0,0,0,4704,4700,0,0,8292,15428,0,12524
2025.11.28-19.46.53,32405,0,32405,4708,0,0,0,4708,4704,0,0,8298,15432,0,12530
2025.11.28-20.19.53,32405,0,32405,4711,0,0,0,4711,4707,0,0,8301,15435,0,12533
2025.11.28-20.33.24,32407,0,32407,4711,0,0,0,4711,4707,0,0,8301,15435,0,12533
2025.11.29-01.16.47,32452,0,32452,4713,0,0,0,4713,4709,0,0,8303,15437,0,12535
2025.11.29-03.10.01,32452,0,32452,4726,0,0,0,4726,4722,0,0,8316,15450,0,12548
2025.11.29-17.04.02,32466,0,32466,4726,0,0,0,4726,4722,0,0,8316,15450,0,12548
2025.11.29-17.14.18,32466,0,32466,4735,0,0,0,4735,4731,0,0,8325,15459,0,12557
2025.11.29-17.35.15,32444,0,32444,4735,0,0,0,4735,4731,0,0,8322,15456,0,12554
2025.11.29-18.25.49,32445,0,32445,4739,0,0,0,4739,4735,0,0,8327,15461,0,12559
2025.11.29-19.27.31,32441,0,32441,4745,0,0,0,4745,4741,0,0,8328,15462,0,12560
2025.11.29-20.33.43,32444,0,32444,4746,0,0,0,4746,4742,0,0,8322,15456,0,12554
2025.11.29-21.00.53,32428,0,32428,4756,0,0,0,4756,4752,0,0,8308,15440,0,12538
2025.11.29-22.37.23,32431,0,32431,4766,0,0,0,4766,4762,0,0,8317,15447,0,12547
2025.11.29-23.41.07,32434,0,32434,4769,0,0,0,4769,4765,0,0,8320,15450,0,12550
2025.11.30-00.19.50,32408,0,32408,4775,0,0,0,4775,4771,0,0,8224,15354,0,12454
2025.11.30-00.55.34,32383,0,32383,4851,0,0,0,4851,4847,0,0,8268,15398,0,12498
2025.11.30-01.22.39,32388,0,32388,4858,0,0,0,4858,4854,0,0,8268,15391,0,12498
2025.11.30-01.38.34,32452,0,32452,4870,0,0,0,4870,4866,0,0,8280,15410,0,12510
2025.11.30-02.21.53,32456,0,32456,4934,0,0,0,4934,4930,0,0,8324,15470,0,12554
2025.11.30-02.37.27,32509,0,32509,4958,0,0,0,4958,4954,0,0,8348,15494,0,12578
2025.11.30-15.26.21,32514,0,32514,5011,0,0,0,5011,5007,0,0,8400,15546,0,12630
2025.11.30-19.19.41,32528,0,32528,5017,0,0,0,5017,5013,0,0,8395,15540,0,12625
2025.11.30-23.00.21,32513,0,32513,5042,0,0,0,5042,5038,0,0,8383,15581,0,12616
2025.12.01-00.25.27,32456,0,32456,5120,0,0,0,5120,5116,0,0,8408,15534,0,12569
2025.12.01-19.57.50,32517,0,32517,5135,0,0,0,5135,5131,0,0,8423,15549,0,12584
2025.12.01-20.08.56,32535,0,32535,5135,0,0,0,5135,5131,0,0,8423,15549,0,12584
2025.12.01-20.17.39,32539,0,32539,5135,0,0,0,5135,5131,0,0,8423,15549,0,12584
2025.12.01-22.02.42,32410,0,32410,5217,0,0,0,5217,5213,0,0,8408,15497,0,12530
2025.12.02-00.25.55,32406,0,32406,5233,0,0,0,5233,5229,0,0,8420,15508,0,12542
2025.12.02-21.00.53,32405,0,32405,5236,0,0,0,5236,5232,0,0,8406,15494,0,12528
2025.12.04-16.33.10,32401,0,32401,5250,0,0,0,5250,5246,0,0,8398,15486,0,12520
2025.12.04-19.57.39,32400,0,32400,5262,0,0,0,5262,5258,0,0,8402,15490,0,12524
2025.12.04-20.14.28,32403,0,32403,5267,0,0,0,5267,5263,0,0,8407,15495,0,12529
2025.12.04-22.21.06,32400,0,32400,5270,0,0,0,5270,5266,0,0,8403,15491,0,12525
2025.12.05-01.16.40,32405,0,32405,5277,0,0,0,5277,5273,0,0,8410,15498,0,12532
2025.12.05-02.00.57,32407,0,32407,5281,0,0,0,5281,5277,0,0,8414,15502,0,12536
2025.12.05-19.57.31,32396,0,32396,5283,0,0,0,5283,5279,0,0,8396,15484,0,12518
2025.12.05-20.15.32,32407,0,32407,5289,0,0,0,5289,5285,0,0,8402,15490,0,12524
2025.12.06-14.43.29,32408,0,32408,5296,0,0,0,5296,5292,0,0,8409,15497,0,12531
2025.12.06-19.22.22,32398,0,32398,5300,0,0,0,5300,5296,0,0,8413,15501,0,12535
2025.12.06-19.57.47,32389,0,32389,5308,0,0,0,5308,5304,0,0,8413,15493,0,12527
2025.12.09-16.51.15,32466,0,32466,5315,0,0,0,5315,5311,0,0,8416,15496,0,12530
2025.12.09-18.18.23,32539,0,32539,5372,0,0,0,5372,5368,0,0,8473,15553,0,12587
